timestamp,datetime,side,price,size,position_after,realized_pnl_cumul
1777275695.425837,2026-04-27 09:41:35,sell,77691.53,2.962500,-2.962500,0.00
1777275696.667174,2026-04-27 09:41:36,buy,77692.48,2.275000,-0.687500,-2.16
1777275772.290149,2026-04-27 09:42:52,buy,77660.75,2.809200,2.121700,19.00
1777275785.287557,2026-04-27 09:43:05,sell,77661.46,2.466200,-0.344500,20.51
1777276360.387602,2026-04-27 09:52:40,sell,77733.49,2.891400,-3.235900,20.51
1777276382.801813,2026-04-27 09:53:02,buy,77747.16,2.196200,-1.039700,-26.36
